"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Iraq","IRQ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","3300","3700","4500","5400","6500","7700","8922","10000","12000","14000","15000","17000","18000","19000","20222","20000","20000","20000","20058","23350","26600","29956","35552","36005","38000","40915","40000","39000","38186","38186","38186","37500","37161","37161","49640","49640","49600","49600","49600","46078","","","","","","","","","","","","","","","",
"Iraq","IRQ","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.353525504296","132.435889589326","132.454361054767","144.87379245871","132.773697096887","187.358731057924","141.987577639752","130.527950310559","154.37171524128","134.166769306565","","",
"Iraq","IRQ","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3626666666667","41.6128846153846","46.2541666666667","37.5676767676768","56.94","72.4898630136986","34.29","39.0976744186047","44.6836464215743","43.572","","",
"Iraq","IRQ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","88000","88550","89100","88650","89200","89250","89800","89850","89900","89930","89990","91600","91700","92800","92850","92850","92850","93890","94390","94390","94390","94500","94500","94500","94650","94800","94800","95300","92300","92300","96300","95500","98700","93500","91000","91000","86600","89000","87500","83000","84900","88400","86900","86900","93900","89900","91400","81900","78500","82200","85300","85685","92300","","",
"Iraq","IRQ","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","20.1202643071084","20.2460159590278","20.3717676109473","20.2688798957405","20.3946315476599","20.4060635160162","20.5318151679356","20.5432471362919","20.5546791046482","20.561538285662","20.5752566476896","20.9433660287628","20.9662299654755","21.2177332693143","21.2291652376706","21.2291652376706","21.2291652376706","21.4669501794819","21.581269863045","21.581269863045","21.581269863045","21.6064201934289","21.6064201934289","21.6064201934289","21.6407160984978","21.6750120035668","21.6750120035668","21.7893316871299","21.1034135857512","21.1034135857512","22.0179710542561","21.8350595605551","22.5667055353591","21.3777808263027","20.8061824084871","20.8061824084871","19.8001691931317","20.3489036742346","20.0059446235453","18.9770674714772","19.4114822690171","20.2117200539589","19.8687610032695","19.8687610032695","21.4692365731532","20.5546791046482","20.8976381553376","18.7255641676384","18.0742309817646","18.9261374102045","19.6398968502487","19.7285411678025","21.2516117148646","","",
"Iraq","IRQ","Arable land (hectares)","AG.LND.ARBL.HA","","4600000","4650000","4700000","4750000","4800000","4800000","4850000","4850000","4850000","4848000","4848000","5000000","5000000","5100000","5100000","5100000","5100000","5200000","5250000","5250000","5250000","5250000","5250000","5250000","5250000","5250000","5250000","5300000","5000000","5000000","5400000","5300000","5600000","5050000","4800000","4800000","4400000","4650000","4550000","4100000","4300000","4650000","4500000","4500000","5200000","4800000","4950000","4000000","3650000","4000000","4300000","4338500","5000000","","",
"Iraq","IRQ","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.615355473466541","0.605924771507723","0.595772751483918","0.584816921523725","0.573080202216125","0.554838439715705","0.542056970969999","0.523719357693302","0.505968551081333","0.488809114596094","0.472703332636499","0.471704966279699","0.456572261828851","0.450836540460723","0.436472497739543","0.422598408461249","0.4092770425994","0.404378926072222","0.395990016525983","0.38452078968412","0.373764627812659","0.363632308585165","0.354134496639297","0.345286925542854","0.337048441757644","0.329404241371366","0.322210049160661","0.318171023288438","0.293286662431216","0.286066474410925","0.300786908684269","0.286974793487795","0.294396473298476","0.257562454432484","0.237415036948457","0.230156130246888","0.204467085353298","0.209451581438266","0.198788916753318","0.173914880373498","0.177255307910195","0.186419122384475","0.175572579246244","0.170969201608022","0.192466334677044","0.173179021685008","0.174151437445965","0.13715856219011","0.121785878803899","0.129583380361302","0.135176805445777","0.13234810740071","0.148010509338205","","",
"Iraq","IRQ","Arable land (% of land area)","AG.LND.ARBL.ZS","","10.5174108878067","10.6317305713698","10.7460502549329","10.860369938496","10.9746896220591","10.9746896220591","11.0890093056222","11.0890093056222","11.0890093056222","11.0844365182797","11.0844365182797","11.4319683563116","11.4319683563116","11.6606077234378","11.6606077234378","11.6606077234378","11.6606077234378","11.8892470905641","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.0035667741272","12.1178864576903","11.4319683563116","11.4319683563116","12.3465258248165","12.1178864576903","12.803804559069","11.5462880398747","10.9746896220591","10.9746896220591","10.0601321535542","10.6317305713698","10.4030912042435","9.3742140521755","9.83149278642797","10.6317305713698","10.2887715206804","10.2887715206804","11.8892470905641","10.9746896220591","11.3176486727485","9.14557468504927","8.40394179406889","9.20979922637686","9.90053416835513","9.98917848590901","11.5122490329711","","",
"Iraq","IRQ","Land under cereal production (hectares)","AG.LND.CREL.HA","","2039339","2451402","1817699","2179046","2480608","2382202","2472043","2424096","2164583","2086907","1473575","2703420","1702530","2195900","2020209","2165110","1501322","2304070","1928900","2290625","2256525","2355875","2478675","1082953","2976717","2777350","1937925","2462050","1625275","3256300","3342575","3919501","4588136","3571340","3170300","3339580","2769600","2811650","2719629","2490350","2625883","3157390","2910960","2783550","3911030","2848000","2966750","1585596","1493415","2570483","2374286","2066057","2958734","","",
"Iraq","IRQ","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.228639367126232","0.240071335482543","0.251503303838855","0.262935272195167","0.274367240551478","0.28579920890779","0.297231177264101","0.308663145620413","0.320095113976725","0.331527082333036","0.34524544436061","0.365822987401971","0.388686924114594","0.411550860827217","0.422982829183529","0.422982829183529","0.422982829183529","0.432128403868578","0.432128403868578","0.432128403868578","0.432128403868578","0.457278734252464","0.457278734252464","0.457278734252464","0.491574639321398","0.525870544390333","0.525870544390333","0.525870544390333","0.525870544390333","0.525870544390333","0.525870544390333","0.57159841781558","0.617326291240826","0.685918101378695","0.685918101378695","0.685918101378695","0.594462354528203","0.57159841781558","0.457278734252464","0.457278734252464","0.43441479753984","0.43441479753984","0.43441479753984","0.43441479753984","0.43441479753984","0.43441479753984","0.43441479753984","0.43441479753984","0.460489961318843","0.506538957450728","0.52956345551667","0.52956345551667","0.52956345551667","","",
