district,year,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Suq Al-Shoyokh,2008,17,17,4,5,0,2,5,7,Suq Al-Shoyokh,Suq Al-Shoyokh
Suq Al-Shoyokh,2009,1,1,0,0,0,0,1,1,Suq Al-Shoyokh,Suq Al-Shoyokh
Tarmia,2004,308,308,92,19,0,192,2,194,Tarmia,Tarmia
Tarmia,2005,748,748,145,11,0,571,0,571,Tarmia,Tarmia
Tarmia,2006,2188,2088,552,13,0,1104,301,1405,Tarmia,Tarmia
Tarmia,2007,1993,1939,639,45,3,606,499,1105,Tarmia,Tarmia
Tarmia,2008,274,272,62,8,4,92,94,186,Tarmia,Tarmia
Tarmia,2009,24,24,0,2,0,11,7,18,Tarmia,Tarmia
Telafar,2004,204,204,79,9,0,99,0,99,Telafar,Telafar
Telafar,2005,842,842,366,3,3,374,0,374,Telafar,Telafar
Telafar,2006,478,412,83,2,14,215,35,250,Telafar,Telafar
Telafar,2007,410,338,69,6,12,158,110,268,Telafar,Telafar
Telafar,2008,197,183,21,1,9,85,64,149,Telafar,Telafar
Telafar,2009,5,5,1,0,0,2,2,4,Telafar,Telafar
Tikrit,2004,335,335,142,44,0,117,2,119,Tikrit,Tikrit
Tikrit,2005,653,653,129,13,0,374,0,374,Tikrit,Tikrit
Tikrit,2006,1086,997,151,3,3,673,133,806,Tikrit,Tikrit
Tikrit,2007,1652,1510,229,9,8,760,470,1230,Tikrit,Tikrit
Tikrit,2008,584,566,120,3,2,232,184,416,Tikrit,Tikrit
Tikrit,2009,59,59,7,0,0,28,19,47,Tikrit,Tikrit
Tilkaif,2004,46,46,15,1,0,27,2,29,Tilkaif,Tilkaif
Tilkaif,2005,53,53,18,0,0,35,0,35,Tilkaif,Tilkaif
Tilkaif,2006,85,76,10,0,1,57,8,65,Tilkaif,Tilkaif
Tilkaif,2007,184,170,14,0,1,122,40,162,Tilkaif,Tilkaif
Tilkaif,2008,217,196,19,1,1,116,57,173,Tilkaif,Tilkaif
Tilkaif,2009,27,24,1,0,0,13,9,22,Tilkaif,Tilkaif
Tooz,2004,56,56,19,3,0,30,1,31,Tooz,Tooz
Tooz,2005,110,110,13,0,1,91,0,91,Tooz,Tooz
Tooz,2006,129,113,13,0,0,85,17,102,Tooz,Tooz
Tooz,2007,274,201,40,6,1,101,61,162,Tooz,Tooz
Tooz,2008,201,174,22,0,0,81,71,152,Tooz,Tooz
Tooz,2009,27,21,4,1,0,8,6,14,Tooz,Tooz
Zakho,2004,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,2005,1,1,0,0,0,1,0,1,Zakho,Zakho
Zakho,2006,1,1,1,0,0,0,0,0,Zakho,Zakho
Zakho,2007,6,1,0,1,0,0,0,0,Zakho,Zakho
Zakho,2008,1,1,0,0,0,0,0,0,Zakho,Zakho
Zakho,2009,0,0,0,0,0,0,0,0,Zakho,Zakho
