district,half,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Tikrit,89,223,223,86,27,0,79,1,80,Tikrit,Tikrit
Tikrit,90,251,251,65,9,0,134,0,134,Tikrit,Tikrit
Tikrit,91,402,402,64,4,0,240,0,240,Tikrit,Tikrit
Tikrit,92,429,403,67,1,1,325,0,325,Tikrit,Tikrit
Tikrit,93,657,594,84,2,2,348,133,481,Tikrit,Tikrit
Tikrit,94,907,803,115,2,4,404,245,649,Tikrit,Tikrit
Tikrit,95,745,707,114,7,4,356,225,581,Tikrit,Tikrit
Tikrit,96,367,357,92,1,2,147,99,246,Tikrit,Tikrit
Tikrit,97,217,209,28,2,0,85,85,170,Tikrit,Tikrit
Tikrit,98,59,59,7,0,0,28,19,47,Tikrit,Tikrit
Tilkaif,88,23,23,8,0,0,13,2,15,Tilkaif,Tilkaif
Tilkaif,89,23,23,7,1,0,14,0,14,Tilkaif,Tilkaif
Tilkaif,90,32,32,11,0,0,21,0,21,Tilkaif,Tilkaif
Tilkaif,91,21,21,7,0,0,14,0,14,Tilkaif,Tilkaif
Tilkaif,92,26,25,5,0,0,17,0,17,Tilkaif,Tilkaif
Tilkaif,93,59,51,5,0,1,40,8,48,Tilkaif,Tilkaif
Tilkaif,94,97,91,5,0,0,74,17,91,Tilkaif,Tilkaif
Tilkaif,95,87,79,9,0,1,48,23,71,Tilkaif,Tilkaif
Tilkaif,96,87,80,7,0,1,45,26,71,Tilkaif,Tilkaif
Tilkaif,97,130,116,12,1,0,71,31,102,Tilkaif,Tilkaif
Tilkaif,98,27,24,1,0,0,13,9,22,Tilkaif,Tilkaif
Tooz,88,19,19,4,1,0,13,1,14,Tooz,Tooz
Tooz,89,37,37,15,2,0,17,0,17,Tooz,Tooz
Tooz,90,45,45,8,0,0,37,0,37,Tooz,Tooz
Tooz,91,65,65,5,0,1,54,0,54,Tooz,Tooz
Tooz,92,64,61,8,0,0,50,0,50,Tooz,Tooz
Tooz,93,65,52,5,0,0,35,17,52,Tooz,Tooz
Tooz,94,123,90,13,0,1,46,33,79,Tooz,Tooz
Tooz,95,151,111,27,6,0,55,28,83,Tooz,Tooz
Tooz,96,81,69,12,0,0,25,31,56,Tooz,Tooz
Tooz,97,120,105,10,0,0,56,40,96,Tooz,Tooz
Tooz,98,27,21,4,1,0,8,6,14,Tooz,Tooz
Zakho,88,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,89,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,90,1,1,0,0,0,1,0,1,Zakho,Zakho
Zakho,91,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,92,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,93,1,1,1,0,0,0,0,0,Zakho,Zakho
Zakho,94,3,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,95,3,1,0,1,0,0,0,0,Zakho,Zakho
Zakho,96,1,1,0,0,0,0,0,0,Zakho,Zakho
Zakho,97,0,0,0,0,0,0,0,0,Zakho,Zakho
Zakho,98,0,0,0,0,0,0,0,0,Zakho,Zakho
