district,quarter,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Al-Salman,178,1,1,1,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,179,2,2,2,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,180,1,1,1,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,181,1,1,1,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,182,1,1,0,0,0,1,0,1,Al-Salman,Al-Salman
Al-Salman,183,2,2,2,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,184,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,185,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,186,1,0,0,0,0,1,0,1,Al-Salman,Al-Salman
Al-Salman,187,1,1,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,188,1,1,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,189,1,1,0,0,0,0,1,1,Al-Salman,Al-Salman
Al-Salman,190,2,2,0,1,0,1,0,1,Al-Salman,Al-Salman
Al-Salman,191,4,4,1,0,0,1,1,2,Al-Salman,Al-Salman
Al-Salman,192,2,2,1,0,0,0,1,1,Al-Salman,Al-Salman
Al-Salman,193,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,194,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,195,1,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,196,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Samawa,176,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,177,10,10,3,3,0,4,0,4,Al-Samawa,Al-Samawa
Al-Samawa,178,6,6,2,3,0,1,0,1,Al-Samawa,Al-Samawa
Al-Samawa,179,6,6,2,0,0,4,0,4,Al-Samawa,Al-Samawa
Al-Samawa,180,2,2,1,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,181,6,6,4,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,182,10,10,6,0,0,2,0,2,Al-Samawa,Al-Samawa
Al-Samawa,183,4,4,3,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,184,19,19,13,0,0,3,0,3,Al-Samawa,Al-Samawa
Al-Samawa,185,13,11,7,0,0,3,0,3,Al-Samawa,Al-Samawa
Al-Samawa,186,11,11,4,1,0,2,0,2,Al-Samawa,Al-Samawa
Al-Samawa,187,9,8,6,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,188,2,1,1,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,189,2,2,2,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,190,2,2,0,1,0,1,0,1,Al-Samawa,Al-Samawa
Al-Samawa,191,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,192,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,193,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,194,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,195,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,196,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Shamiya,176,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,177,1,1,0,0,0,1,0,1,Al-Shamiya,Al-Shamiya
Al-Shamiya,178,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,179,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,180,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,181,1,1,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,182,1,1,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,183,1,1,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,184,2,2,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,185,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,186,6,3,2,0,0,1,0,1,Al-Shamiya,Al-Shamiya
Al-Shamiya,187,6,3,1,0,0,1,2,3,Al-Shamiya,Al-Shamiya
Al-Shamiya,188,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,189,9,6,2,0,0,6,1,7,Al-Shamiya,Al-Shamiya
Al-Shamiya,190,7,4,2,0,0,3,0,3,Al-Shamiya,Al-Shamiya
Al-Shamiya,191,1,1,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,192,1,1,1,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,193,3,3,1,0,0,1,1,2,Al-Shamiya,Al-Shamiya
Al-Shamiya,194,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,195,3,2,0,0,0,1,1,2,Al-Shamiya,Al-Shamiya
Al-Shamiya,196,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shatra,176,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,177,3,3,3,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,178,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,179,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,180,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,181,5,5,2,1,0,2,0,2,Al-Shatra,Al-Shatra
Al-Shatra,182,1,1,0,0,0,1,0,1,Al-Shatra,Al-Shatra
Al-Shatra,183,1,1,0,0,0,1,0,1,Al-Shatra,Al-Shatra
Al-Shatra,184,1,1,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,185,1,1,0,0,0,1,0,1,Al-Shatra,Al-Shatra
Al-Shatra,186,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,187,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,188,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,189,2,1,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,190,3,3,2,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,191,1,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,192,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,193,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,194,3,3,3,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,195,0,0,0,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,196,1,1,0,0,0,0,1,1,Al-Shatra,Al-Shatra
Al-Shikhan,176,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,177,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,178,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,179,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,180,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,181,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,182,2,2,1,0,0,1,0,1,Al-Shikhan,Al-Shikhan
Al-Shikhan,183,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,184,2,2,0,0,0,2,0,2,Al-Shikhan,Al-Shikhan
Al-Shikhan,185,1,1,0,0,0,1,0,1,Al-Shikhan,Al-Shikhan
Al-Shikhan,186,1,1,0,0,0,1,0,1,Al-Shikhan,Al-Shikhan
Al-Shikhan,187,1,1,0,0,0,1,0,1,Al-Shikhan,Al-Shikhan
Al-Shikhan,188,1,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,189,2,1,0,0,0,1,1,2,Al-Shikhan,Al-Shikhan
Al-Shikhan,190,3,2,0,0,0,3,0,3,Al-Shikhan,Al-Shikhan
Al-Shikhan,191,5,4,1,0,0,3,0,3,Al-Shikhan,Al-Shikhan
Al-Shikhan,192,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,193,3,2,0,0,0,0,2,2,Al-Shikhan,Al-Shikhan
Al-Shikhan,194,10,9,0,0,0,2,6,8,Al-Shikhan,Al-Shikhan
Al-Shikhan,195,7,6,0,0,0,2,4,6,Al-Shikhan,Al-Shikhan
Al-Shikhan,196,2,2,0,0,0,2,0,2,Al-Shikhan,Al-Shikhan
Al-Shirqat,176,0,0,0,0,0,0,0,0,Al-Shirqat,Al-Shirqat
Al-Shirqat,177,9,9,4,0,0,5,0,5,Al-Shirqat,Al-Shirqat
Al-Shirqat,178,14,14,4,1,0,9,0,9,Al-Shirqat,Al-Shirqat
Al-Shirqat,179,15,15,3,0,0,12,0,12,Al-Shirqat,Al-Shirqat
Al-Shirqat,180,9,9,2,0,0,7,0,7,Al-Shirqat,Al-Shirqat
Al-Shirqat,181,4,4,1,0,0,3,0,3,Al-Shirqat,Al-Shirqat
Al-Shirqat,182,14,14,0,0,0,14,0,14,Al-Shirqat,Al-Shirqat
Al-Shirqat,183,24,24,5,0,0,19,0,19,Al-Shirqat,Al-Shirqat
Al-Shirqat,184,25,25,4,0,0,20,0,20,Al-Shirqat,Al-Shirqat
Al-Shirqat,185,32,30,1,0,0,30,0,30,Al-Shirqat,Al-Shirqat
Al-Shirqat,186,26,25,2,0,0,22,1,23,Al-Shirqat,Al-Shirqat
Al-Shirqat,187,51,49,4,0,1,38,6,44,Al-Shirqat,Al-Shirqat
Al-Shirqat,188,56,53,9,0,0,26,19,45,Al-Shirqat,Al-Shirqat
Al-Shirqat,189,106,95,9,2,0,64,25,89,Al-Shirqat,Al-Shirqat
Al-Shirqat,190,120,107,10,0,1,68,32,100,Al-Shirqat,Al-Shirqat
Al-Shirqat,191,45,45,8,2,0,20,15,35,Al-Shirqat,Al-Shirqat
Al-Shirqat,192,43,42,10,2,1,10,17,27,Al-Shirqat,Al-Shirqat
Al-Shirqat,193,31,31,6,0,0,10,13,23,Al-Shirqat,Al-Shirqat
Al-Shirqat,194,17,15,8,0,1,4,2,6,Al-Shirqat,Al-Shirqat
Al-Shirqat,195,16,16,0,0,0,1,15,16,Al-Shirqat,Al-Shirqat
Al-Shirqat,196,8,8,0,0,0,2,6,8,Al-Shirqat,Al-Shirqat
Al-Suwaira,176,1,1,0,0,0,1,0,1,Al-Suwaira,Al-Suwaira
Al-Suwaira,177,32,32,16,2,0,14,0,14,Al-Suwaira,Al-Suwaira
Al-Suwaira,178,16,16,2,6,0,7,1,8,Al-Suwaira,Al-Suwaira
Al-Suwaira,179,19,19,4,8,0,7,0,7,Al-Suwaira,Al-Suwaira
Al-Suwaira,180,14,14,2,4,0,8,0,8,Al-Suwaira,Al-Suwaira
Al-Suwaira,181,8,8,3,1,0,4,0,4,Al-Suwaira,Al-Suwaira
Al-Suwaira,182,10,10,2,0,0,8,0,8,Al-Suwaira,Al-Suwaira
Al-Suwaira,183,7,7,2,0,0,5,0,5,Al-Suwaira,Al-Suwaira
Al-Suwaira,184,2,2,1,0,0,1,0,1,Al-Suwaira,Al-Suwaira
Al-Suwaira,185,17,6,1,0,0,5,0,5,Al-Suwaira,Al-Suwaira
Al-Suwaira,186,72,21,7,1,0,14,1,15,Al-Suwaira,Al-Suwaira
Al-Suwaira,187,112,49,18,3,0,29,5,34,Al-Suwaira,Al-Suwaira
Al-Suwaira,188,71,35,12,2,0,13,9,22,Al-Suwaira,Al-Suwaira
Al-Suwaira,189,61,24,11,2,1,9,3,12,Al-Suwaira,Al-Suwaira
Al-Suwaira,190,40,30,21,2,0,11,0,11,Al-Suwaira,Al-Suwaira
Al-Suwaira,191,32,27,11,4,0,4,2,6,Al-Suwaira,Al-Suwaira
Al-Suwaira,192,8,8,4,0,0,2,2,4,Al-Suwaira,Al-Suwaira
Al-Suwaira,193,10,9,2,1,0,6,0,6,Al-Suwaira,Al-Suwaira
Al-Suwaira,194,12,7,1,0,0,3,3,6,Al-Suwaira,Al-Suwaira
Al-Suwaira,195,4,4,1,0,0,3,0,3,Al-Suwaira,Al-Suwaira
Al-Suwaira,196,3,3,1,0,0,2,0,2,Al-Suwaira,Al-Suwaira
Al-Zubair,176,7,7,2,0,0,4,0,4,Al-Zubair,Al-Zubair
Al-Zubair,177,25,25,15,1,0,6,3,9,Al-Zubair,Al-Zubair
Al-Zubair,178,9,9,6,0,0,3,0,3,Al-Zubair,Al-Zubair
Al-Zubair,179,30,30,12,3,0,14,0,14,Al-Zubair,Al-Zubair
Al-Zubair,180,14,14,6,2,0,6,0,6,Al-Zubair,Al-Zubair
Al-Zubair,181,11,10,9,0,0,1,0,1,Al-Zubair,Al-Zubair
Al-Zubair,182,14,14,5,1,0,8,0,8,Al-Zubair,Al-Zubair
Al-Zubair,183,15,15,10,0,0,5,0,5,Al-Zubair,Al-Zubair
Al-Zubair,184,24,23,9,0,0,12,0,12,Al-Zubair,Al-Zubair
Al-Zubair,185,31,28,8,0,0,8,0,8,Al-Zubair,Al-Zubair
Al-Zubair,186,45,32,4,0,0,14,1,15,Al-Zubair,Al-Zubair
Al-Zubair,187,68,55,9,0,0,14,5,19,Al-Zubair,Al-Zubair
Al-Zubair,188,44,40,9,0,0,10,4,14,Al-Zubair,Al-Zubair
Al-Zubair,189,52,36,12,0,0,17,6,23,Al-Zubair,Al-Zubair
Al-Zubair,190,36,26,6,2,0,11,1,12,Al-Zubair,Al-Zubair
Al-Zubair,191,47,35,7,3,1,16,2,18,Al-Zubair,Al-Zubair
Al-Zubair,192,36,34,6,1,0,16,4,20,Al-Zubair,Al-Zubair
Al-Zubair,193,25,20,6,0,0,4,3,7,Al-Zubair,Al-Zubair
Al-Zubair,194,12,6,2,0,0,3,0,3,Al-Zubair,Al-Zubair
Al-Zubair,195,7,1,0,1,0,0,0,0,Al-Zubair,Al-Zubair
Al-Zubair,196,3,1,1,0,0,1,0,1,Al-Zubair,Al-Zubair
Ali Al-Gharbi,176,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,177,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,178,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,179,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,180,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,181,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,182,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,183,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,184,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,185,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,186,1,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,187,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,188,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,189,1,1,0,0,0,1,0,1,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,190,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,191,1,1,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,192,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,193,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,194,2,2,1,0,0,1,0,1,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,195,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,196,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Amara,176,6,6,2,1,0,2,1,3,Amara,Amara
Amara,177,128,128,68,48,0,12,0,12,Amara,Amara
Amara,178,112,112,68,39,0,5,0,5,Amara,Amara
Amara,179,10,10,3,1,0,6,0,6,Amara,Amara
Amara,180,8,8,3,1,0,4,0,4,Amara,Amara
Amara,181,22,22,8,1,0,11,0,11,Amara,Amara
Amara,182,47,47,7,1,0,20,0,20,Amara,Amara
Amara,183,31,31,6,0,0,13,0,13,Amara,Amara
Amara,184,33,33,3,0,0,4,0,4,Amara,Amara
Amara,185,43,43,8,0,0,7,0,7,Amara,Amara
Amara,186,28,23,8,0,0,1,0,1,Amara,Amara
Amara,187,6,4,1,0,0,0,1,1,Amara,Amara
Amara,188,7,5,1,0,0,1,0,1,Amara,Amara
Amara,189,6,5,1,1,0,1,0,1,Amara,Amara
Amara,190,1,0,0,0,0,0,0,0,Amara,Amara
Amara,191,4,3,0,0,0,3,0,3,Amara,Amara
Amara,192,4,1,1,0,0,0,0,0,Amara,Amara
Amara,193,11,10,2,0,0,2,6,8,Amara,Amara
Amara,194,27,24,9,0,0,10,6,16,Amara,Amara
Amara,195,15,14,6,3,0,4,0,4,Amara,Amara
Amara,196,15,13,5,0,0,4,3,7,Amara,Amara
Amedi,176,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,177,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,178,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,179,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,180,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,181,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,182,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,183,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,184,1,1,0,0,0,1,0,1,Amedi,Amedi
Amedi,185,1,1,1,0,0,0,0,0,Amedi,Amedi
Amedi,186,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,187,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,188,1,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,189,1,1,0,0,0,0,0,0,Amedi,Amedi
Amedi,190,2,2,0,0,0,1,0,1,Amedi,Amedi
Amedi,191,4,3,1,0,0,0,0,0,Amedi,Amedi
Amedi,192,6,6,0,0,0,0,0,0,Amedi,Amedi
Amedi,193,1,1,0,0,0,1,0,1,Amedi,Amedi
Amedi,194,1,1,0,1,0,0,0,0,Amedi,Amedi
Amedi,195,1,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,196,0,0,0,0,0,0,0,0,Amedi,Amedi
Ana,176,3,3,0,1,0,2,0,2,Ana,Ana
Ana,177,5,5,2,1,0,2,0,2,Ana,Ana
Ana,178,9,9,5,2,0,2,0,2,Ana,Ana
Ana,179,6,6,1,1,0,3,0,3,Ana,Ana
Ana,180,10,10,0,0,0,10,0,10,Ana,Ana
Ana,181,18,18,2,0,0,16,0,16,Ana,Ana
Ana,182,56,56,11,0,0,36,0,36,Ana,Ana
Ana,183,81,81,7,1,0,71,0,71,Ana,Ana
Ana,184,50,50,1,0,0,42,0,42,Ana,Ana
Ana,185,62,61,7,1,2,36,0,36,Ana,Ana
Ana,186,130,122,22,5,0,62,8,70,Ana,Ana
Ana,187,129,126,42,1,0,45,25,70,Ana,Ana
Ana,188,70,65,16,0,1,24,24,48,Ana,Ana
Ana,189,53,45,12,1,1,14,22,36,Ana,Ana
Ana,190,58,46,5,2,0,12,28,40,Ana,Ana
Ana,191,48,47,9,0,0,9,28,37,Ana,Ana
Ana,192,42,41,9,1,0,15,14,29,Ana,Ana
Ana,193,28,28,3,0,0,8,11,19,Ana,Ana
Ana,194,12,12,1,0,0,5,5,10,Ana,Ana
Ana,195,6,5,1,0,0,1,1,2,Ana,Ana
Ana,196,1,1,1,0,0,0,0,0,Ana,Ana
Ba'quba,176,5,5,1,0,0,4,0,4,Ba'quba,Ba'quba
Ba'quba,177,16,16,4,1,0,10,1,11,Ba'quba,Ba'quba
Ba'quba,178,9,9,2,0,0,6,1,7,Ba'quba,Ba'quba
Ba'quba,179,20,20,7,2,0,10,0,10,Ba'quba,Ba'quba
Ba'quba,180,14,14,3,3,0,8,0,8,Ba'quba,Ba'quba
Ba'quba,181,14,14,1,0,0,12,0,12,Ba'quba,Ba'quba
Ba'quba,182,17,16,2,0,0,12,0,12,Ba'quba,Ba'quba
Ba'quba,183,21,21,5,0,0,15,0,15,Ba'quba,Ba'quba
Ba'quba,184,23,22,5,0,0,16,0,16,Ba'quba,Ba'quba
Ba'quba,185,76,34,22,0,0,33,0,33,Ba'quba,Ba'quba
Ba'quba,186,152,74,40,2,0,59,6,65,Ba'quba,Ba'quba
Ba'quba,187,126,73,29,0,0,38,15,53,Ba'quba,Ba'quba
Ba'quba,188,132,92,26,0,0,33,23,56,Ba'quba,Ba'quba
Ba'quba,189,171,111,45,10,1,47,18,65,Ba'quba,Ba'quba
Ba'quba,190,200,165,51,19,0,41,56,97,Ba'quba,Ba'quba
Ba'quba,191,96,90,29,8,0,10,28,38,Ba'quba,Ba'quba
Ba'quba,192,146,146,32,1,1,12,92,104,Ba'quba,Ba'quba
Ba'quba,193,72,69,12,1,0,16,39,55,Ba'quba,Ba'quba
Ba'quba,194,23,22,10,0,0,4,8,12,Ba'quba,Ba'quba
Ba'quba,195,10,9,3,0,0,1,4,5,Ba'quba,Ba'quba
Ba'quba,196,4,4,0,0,0,2,2,4,Ba'quba,Ba'quba
Badra,176,0,0,0,0,0,0,0,0,Badra,Badra
Badra,177,1,1,0,0,0,1,0,1,Badra,Badra
Badra,178,0,0,0,0,0,0,0,0,Badra,Badra
Badra,179,0,0,0,0,0,0,0,0,Badra,Badra
Badra,180,0,0,0,0,0,0,0,0,Badra,Badra
Badra,181,0,0,0,0,0,0,0,0,Badra,Badra
Badra,182,0,0,0,0,0,0,0,0,Badra,Badra
Badra,183,0,0,0,0,0,0,0,0,Badra,Badra
Badra,184,0,0,0,0,0,0,0,0,Badra,Badra
Badra,185,2,0,0,0,0,1,0,1,Badra,Badra
Badra,186,1,0,0,0,0,1,0,1,Badra,Badra
Badra,187,2,2,0,0,0,2,0,2,Badra,Badra
Badra,188,2,2,0,0,0,2,0,2,Badra,Badra
Badra,189,2,1,0,0,0,1,0,1,Badra,Badra
Badra,190,2,2,1,1,0,0,0,0,Badra,Badra
Badra,191,1,1,0,0,0,0,0,0,Badra,Badra
Badra,192,0,0,0,0,0,0,0,0,Badra,Badra
Badra,193,1,1,0,0,0,1,0,1,Badra,Badra
Badra,194,2,2,0,0,0,1,1,2,Badra,Badra
Badra,195,0,0,0,0,0,0,0,0,Badra,Badra
Badra,196,0,0,0,0,0,0,0,0,Badra,Badra
Baiji,176,5,5,1,0,0,3,1,4,Baiji,Baiji
Baiji,177,37,37,10,3,0,23,1,24,Baiji,Baiji
Baiji,178,40,40,16,2,0,22,0,22,Baiji,Baiji
Baiji,179,98,98,23,2,0,67,0,67,Baiji,Baiji
Baiji,180,82,82,20,7,0,43,0,43,Baiji,Baiji
Baiji,181,98,98,20,2,0,68,0,68,Baiji,Baiji
Baiji,182,131,131,18,1,0,97,0,97,Baiji,Baiji
Baiji,183,77,77,5,0,0,62,0,62,Baiji,Baiji
Baiji,184,75,75,12,0,0,55,0,55,Baiji,Baiji
Baiji,185,101,95,10,0,0,85,0,85,Baiji,Baiji
Baiji,186,141,120,26,0,0,74,12,86,Baiji,Baiji
Baiji,187,213,190,47,1,0,89,31,120,Baiji,Baiji
Baiji,188,232,202,41,0,0,89,54,143,Baiji,Baiji
Baiji,189,281,244,54,3,1,119,57,176,Baiji,Baiji
Baiji,190,250,230,50,11,0,125,49,174,Baiji,Baiji
Baiji,191,206,202,54,7,0,81,51,132,Baiji,Baiji
Baiji,192,131,126,34,1,0,50,36,86,Baiji,Baiji
Baiji,193,96,93,21,2,1,34,27,61,Baiji,Baiji
Baiji,194,36,35,5,0,0,12,13,25,Baiji,Baiji
Baiji,195,32,29,1,0,0,14,9,23,Baiji,Baiji
Baiji,196,13,13,3,0,0,3,2,5,Baiji,Baiji
Balad,176,34,34,16,0,0,17,1,18,Balad,Balad
Balad,177,184,184,85,24,0,73,2,75,Balad,Balad
Balad,178,208,208,84,18,0,103,3,106,Balad,Balad
Balad,179,374,374,99,18,0,177,0,177,Balad,Balad
Balad,180,297,297,83,12,0,157,0,157,Balad,Balad
Balad,181,323,323,64,7,0,193,0,193,Balad,Balad
Balad,182,473,473,59,3,0,326,0,326,Balad,Balad
Balad,183,355,355,63,0,0,220,0,220,Balad,Balad
Balad,184,501,500,50,0,0,318,0,318,Balad,Balad
Balad,185,538,507,65,0,0,310,0,310,Balad,Balad
Balad,186,723,684,73,0,0,410,59,469,Balad,Balad
Balad,187,762,673,90,1,0,253,178,431,Balad,Balad
Balad,188,730,680,92,1,0,241,207,448,Balad,Balad
Balad,189,958,879,119,34,3,324,193,517,Balad,Balad
Balad,190,903,819,157,110,1,343,199,542,Balad,Balad
Balad,191,461,448,111,53,1,159,105,264,Balad,Balad
Balad,192,329,324,49,71,0,86,103,189,Balad,Balad
Balad,193,307,305,64,81,0,73,73,146,Balad,Balad
Balad,194,201,188,48,21,0,41,68,109,Balad,Balad
Balad,195,106,102,23,12,1,26,22,48,Balad,Balad
Balad,196,62,59,12,1,0,12,19,31,Balad,Balad
Baladrooz,176,6,6,2,0,0,4,0,4,Baladrooz,Baladrooz
Baladrooz,177,30,30,6,1,0,21,2,23,Baladrooz,Baladrooz
Baladrooz,178,32,32,2,0,0,28,2,30,Baladrooz,Baladrooz
Baladrooz,179,58,58,12,2,0,41,0,41,Baladrooz,Baladrooz
Baladrooz,180,51,51,7,1,0,41,0,41,Baladrooz,Baladrooz
Baladrooz,181,47,47,9,1,0,35,0,35,Baladrooz,Baladrooz
Baladrooz,182,49,49,11,0,0,38,0,38,Baladrooz,Baladrooz
Baladrooz,183,42,42,3,0,0,36,0,36,Baladrooz,Baladrooz
Baladrooz,184,52,52,12,0,0,39,0,39,Baladrooz,Baladrooz
Baladrooz,185,143,87,29,0,0,94,0,94,Baladrooz,Baladrooz
Baladrooz,186,177,85,44,0,0,104,6,110,Baladrooz,Baladrooz
Baladrooz,187,200,121,29,2,0,85,38,123,Baladrooz,Baladrooz
Baladrooz,188,180,137,32,1,3,83,39,122,Baladrooz,Baladrooz
Baladrooz,189,184,121,36,9,2,76,30,106,Baladrooz,Baladrooz
Baladrooz,190,194,122,56,16,0,65,35,100,Baladrooz,Baladrooz
Baladrooz,191,83,73,19,1,1,38,10,48,Baladrooz,Baladrooz
Baladrooz,192,124,119,19,4,2,40,50,90,Baladrooz,Baladrooz
Baladrooz,193,192,183,30,17,5,72,54,126,Baladrooz,Baladrooz
Baladrooz,194,318,315,28,7,2,156,118,274,Baladrooz,Baladrooz
Baladrooz,195,115,114,4,1,0,29,77,106,Baladrooz,Baladrooz
Baladrooz,196,102,101,3,0,1,35,56,91,Baladrooz,Baladrooz
Basrah,176,12,12,7,0,0,4,1,5,Basrah,Basrah
Basrah,177,97,97,59,10,0,25,3,28,Basrah,Basrah
Basrah,178,131,131,73,41,0,16,1,17,Basrah,Basrah
